"Pour plus d'informations sur le contenu de ce fichier et notamment pour interpréter les codes remarques associés aux analyses, veuillez vous reporter au fichier de métadonnées.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Code BSS";"Nom Station";"Code paramètre";"Paramètre";"Unité";"AN";"ECART_TYPE";"NB";"MEDIANE";"PERCENTILE_10";"PERCENTILE_90";"MINI";"MAXI";"MOYENNE";"Code remarque";"NBNONQUANT";"CODE_FRACTANALY"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1107";"Atrazine";"µg/L";"2015";"0";"3";",009";",009";",009";",009";",009";",009";"10";"3";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1107";"Atrazine";"µg/L";"2016";"0";"4";",009";",009";",009";",009";",009";",009";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1107";"Atrazine";"µg/L";"2017";"0";"4";",009";",009";",009";",009";",009";",009";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1107";"Atrazine";"µg/L";"2018";",000707106781186547524400844362104849039285";"2";",003";",003";",004";",003";",004";",0035";"1";"0";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1107";"Atrazine";"µg/L";"2019";",000577350269189625764509148780501957455648";"4";",003";",003";",004";",003";",004";",0035";"1";"0";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1108";"Atrazine déséthyl";"µg/L";"2012";",005773502691896257645091487805019574556475";"4";",02";",02";",03";",02";",03";",0225";"1";"1";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1108";"Atrazine déséthyl";"µg/L";"2013";",005";"4";",02";",02";",03";",02";",03";",015";"1";"3";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1108";"Atrazine déséthyl";"µg/L";"2014";"0";"4";",02";",02";",02";",02";",02";",0125";"1";"3";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1108";"Atrazine déséthyl";"µg/L";"2015";",008485281374238570292810132345258188471418";"2";",014";",014";",026";",014";",026";",02";"1";"0";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1108";"Atrazine déséthyl";"µg/L";"2016";",001";"4";",015";",013";",015";",013";",015";",0145";"1";"0";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1108";"Atrazine déséthyl";"µg/L";"2017";",005852349955359812554551049137114310544411";"4";",013";",009";",022";",009";",022";",01575";"1";"0";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1108";"Atrazine déséthyl";"µg/L";"2018";",002828427124746190097603377448419396157139";"2";",013";",013";",017";",013";",017";",015";"1";"0";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1108";"Atrazine déséthyl";"µg/L";"2019";",002160246899469286743655322478695998885902";"4";",012";",011";",016";",011";",016";",013";"1";"0";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1109";"Atrazine déisopropyl";"µg/L";"2012";"0";"4";",02";",02";",02";",02";",02";",02";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1109";"Atrazine déisopropyl";"µg/L";"2013";"0";"4";",02";",02";",02";",02";",02";",02";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1109";"Atrazine déisopropyl";"µg/L";"2014";"0";"4";",02";",02";",02";",02";",02";",02";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1109";"Atrazine déisopropyl";"µg/L";"2015";"0";"3";",006";",006";",006";",006";",006";",006";"10";"3";"23"
